type	target1	target2	alg
0   	0      	1      	"[R D R' U : [R D' R' , U2]]"
0   	0      	3      	"[R' U' D' : [R' D R , U']]"
0   	0      	5      	"[R F R' : [U2 , R F' R' F]]"
0   	0      	6      	"[U2 , R' D R]"
0   	0      	7      	"[U : [R D' R' , U2]]"
0   	0      	8      	"[l' U' D' : [R D R' , U2]]"
0   	0      	10     	"[U D : [R D R' , U2]]"
0   	0      	11     	"[D' U : [R D' R' , U2]]"
0   	0      	13     	"[R' U D R : [D' , R U' R']]"
0   	0      	14     	"[U : [R D R' , U2]]"
0   	0      	15     	"[U2 , R' D' R]"
0   	0      	16     	"[R' U' D : [R D R' , U2]]"
0   	0      	18     	"[U D' : [R D R' , U2]]"
0   	0      	19     	"[U D : [R D' R' , U2]]"
0   	0      	20     	"[D2 R2' D' R2 : [U , R2' D R2 D' R2']]"
0   	0      	21     	"[D R2' D' R2 : [U , R2' D R2 D' R2]]"
0   	0      	22     	"[R2' D' R2 : [U , R2' D R2 D' R2']]"
0   	0      	23     	"[R' U' D' R : [D , R U' R']]"
0   	1      	0      	"[R D R' U' : [R D' R' , U2]]"
0   	1      	3      	"[R F' R' : [U , R' D R]]"
0   	1      	4      	"[R2 : [D , R' U R]]"
0   	1      	5      	"[R' : [U' , R' D' R]]"
0   	1      	6      	"[U , R' D R]"
0   	1      	7      	"[R D' R' , U']"
0   	1      	8      	"[R2 U' : [R U R' , D']]"
0   	1      	10     	"[D' : [U , R' D R]]"
0   	1      	11     	"[D : [U , R' D' R]]"
0   	1      	14     	"[R D R' , U']"
0   	1      	15     	"[U , R' D' R]"
0   	1      	17     	"[R2 U : [D , R' U' R]]"
0   	1      	18     	"[D' : [R D R' , U']]"
0   	1      	19     	"[D : [R D' R' , U']]"
0   	1      	20     	"[R F' : [D , R' U' R]]"
0   	1      	21     	"[U , R' D R U' R D' R']"
0   	1      	22     	"[R D' R' U R' D R , U']"
0   	1      	23     	"[R' B : [R U R' , D']]"
0   	3      	0      	"[R' D' U : [U , R' D R]]"
0   	3      	1      	"[R F' R2' : [D , R U R']]"
0   	3      	4      	"[U' R : [U2 , R D R']]"
0   	3      	6      	"[U' , R' D R]"
0   	3      	7      	"[U2 : [R D' R' , U]]"
0   	3      	10     	"[D' : [U' , R' D R]]"
0   	3      	11     	"[D : [U' , R' D' R]]"
0   	3      	13     	"[U' R2 U : [R' U' R , D]]"
0   	3      	14     	"[U2 : [R D R' , U]]"
0   	3      	15     	"[U' , R' D' R]"
0   	3      	16     	"[R' D' : [R' D R , U']]"
0   	3      	17     	"[U' R2' : [D' , R U' R']]"
0   	3      	18     	"[D : [U' , R' D R]]"
0   	3      	19     	"[D' : [U' , R' D' R]]"
0   	3      	20     	"[U' : [F2 , U R' U' R]]"
0   	3      	21     	"[U' , R' D U' R D' R']"
0   	3      	22     	"[R D' R' : [U' , R' D R]]"
0   	3      	23     	"[R' D' R : [D , R U' R']]"
0   	4      	1      	"[R : [U , R D R']]"
0   	4      	3      	"[U' R2 : [D , R' U2 R]]"
0   	4      	5      	"[U' R' U , L]"
0   	4      	6      	"[U R2' : [D , R U' R']]"
0   	4      	7      	"[R D' : [U , R D R']]"
0   	4      	8      	"[l' U' : [R D' R' , U2]]"
0   	4      	10     	"[U D' R2' : [D , R U' R']]"
0   	4      	11     	"[R U2 : [R' D R , U']]"
0   	4      	13     	"[R : [U , R2 D R2 D' R2]]"
0   	4      	14     	"[U' R : [D' , R U' R']]"
0   	4      	15     	"[U R' U' : [R D R' , U']]"
0   	4      	16     	"[F' L F , R']"
0   	4      	18     	"[U D R2' : [D , R U' R']]"
0   	4      	19     	"[R U2 : [R' D' R , U']]"
0   	4      	20     	"[D' R : [U , R D' R']]"
0   	4      	21     	"[U R' D' : [R' D' R , U']]"
0   	4      	22     	"[D R : [U , R D' R']]"
0   	4      	23     	"[R : [U , R D' R']]"
0   	5      	0      	"[F : [U2 , F' R F R']]"
0   	5      	1      	"[R2 : [D' , R U' R']]"
0   	5      	4      	"[L , U' R' U]"
0   	5      	6      	"[R' U' : [R U R' , D]]"
0   	5      	7      	"[U' R U' : [R' U R , D']]"
0   	5      	10     	"[U R U' : [F , U R' U' R]]"
0   	5      	11     	"[D R' U' : [R U R' , D']]"
0   	5      	13     	"[R U' D' R2' : [U , R D R']]"
0   	5      	14     	"[D' U R U' : [F , U R' U' R]]"
0   	5      	15     	"[R' U' : [R U R' , D']]"
0   	5      	16     	"[R' F : [D , R U R']]"
0   	5      	17     	"[F , l U' l']"
0   	5      	18     	"[F , l U2 l']"
0   	5      	19     	"[D' R' U' : [R U R' , D']]"
0   	5      	20     	"[U' R' U : [D , R U' R']]"
0   	5      	21     	"[U' D' R' U : [D , R U' R']]"
0   	5      	22     	"[R U' R2' : [U , R D R']]"
0   	5      	23     	"[U' D R' U : [D , R U' R']]"
0   	6      	0      	"[R' D R , U2]"
0   	6      	1      	"[R' D R , U]"
